1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,55,55,55,55,55,55,55,55,55,55,55,55,55,68,68,68,68,68,73,73,73,68,68,68,68,68,58,59,60,61,62,63,64,65,66,67,68,69,70,18,17,16,15,14,16,16,16,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,56,56,56,56,56,56,56,56,56,56,56,56,56,69,69,69,69,69,72,72,72,69,69,69,69,69,58,59,60,61,62,63,64,65,66,67,68,69,70,18,17,16,15,14,17,17,17,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,70,70,70,70,70,70,71,71,70,70,70,70,70,58,59,60,61,62,63,64,65,66,67,68,69,70,18,17,16,15,14,18,18,11,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,45,45,45,45,45,58,58,58,45,45,45,45,45,70,70,70,70,70,70,70,70,70,70,70,70,70,31,31,31,31,31,63,64,31,31,31,31,31,31,19,19,19,19,19,19,19,19,19,19,19,19,19,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,46,46,46,46,46,59,59,59,46,46,46,46,46,69,69,69,69,69,69,69,69,69,69,69,69,69,30,30,30,30,30,63,64,65,30,30,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,47,47,47,47,47,60,60,60,47,47,47,47,47,68,68,68,68,68,68,68,68,68,68,68,68,68,29,29,29,29,29,63,64,65,29,29,29,29,29,21,21,21,21,21,21,21,21,21,21,21,21,21,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,48,48,48,48,48,48,48,48,48,48,48,48,48,67,67,67,67,67,67,67,67,67,67,67,67,67,28,28,28,28,28,28,28,28,28,28,28,28,28,22,22,22,22,22,22,22,22,22,22,22,22,22,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,49,49,49,49,49,49,49,49,49,49,49,49,49,66,66,66,66,66,66,66,66,66,66,66,66,66,27,27,27,27,27,27,27,27,27,27,27,27,27,23,23,23,23,23,23,23,23,23,23,23,23,23,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,50,50,50,50,50,50,50,50,50,50,50,50,50,65,65,65,65,65,65,65,26,26,26,26,26,26,26,26,26,26,26,26,26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,51,51,51,51,51,51,51,51,51,51,51,51,64,64,64,64,64,64,64,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,52,52,52,52,52,52,52,52,52,52,52,52,52,63,63,63,63,63,63,63,24,24,24,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,53,53,53,53,53,53,53,53,53,53,53,53,53,62,62,62,62,62,62,62,62,62,62,62,62,62,23,23,23,23,23,23,23,23,23,23,23,23,23,27,27,27,27,27,27,27,27,27,27,27,27,27,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,54,54,54,54,54,54,54,54,54,54,54,54,54,61,61,61,61,61,61,61,61,61,61,61,61,61,22,22,22,22,22,22,22,22,22,22,22,22,22,28,28,28,28,28,28,28,28,28,28,28,28,28,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,78,77,76,14,15,16,17,18,45,46,47,48,49,42,42,42,53,54,55,56,57,55,55,55,55,55,55,55,55,55,55,55,55,55,60,60,60,60,60,60,60,60,60,60,60,60,60,21,21,21,21,21,21,21,21,21,21,21,21,21,29,29,29,29,29,47,47,47,29,29,29,29,29,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,78,77,76,14,15,16,17,18,45,46,47,48,49,43,43,43,53,54,55,56,57,56,56,56,56,56,56,56,56,56,56,56,56,56,59,59,59,59,59,59,59,59,59,59,59,59,59,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,46,46,46,30,30,30,30,30,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,77,76,14,15,16,17,18,45,46,47,48,49,44,44,44,53,54,55,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,58,58,19,19,19,19,19,19,19,19,19,19,19,19,19,31,31,31,31,31,45,45,31,31,31,31,31,31,84,85,86,87,88
1,2,3,4,5,83,82,81,80,79,78,77,76,75,74,73,72,71,45,45,45,45,45,45,45,45,45,45,45,45,45,57,56,55,54,53,58,58,58,49,48,47,46,45,58,59,60,61,62,57,57,57,66,67,68,69,70,44,44,44,44,44,44,18,18,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,84,85,86,87,88
