11,11,11,11,7,8,9,10,11,12,13,14,15,16,17,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,101,11,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,11,101,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,48,47,46,45,44,43,42,49,40,51,52,53,54,55,56,57,58,59,60,61,101,63,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,11,11,11,11,11
12,12,12,12,7,8,9,10,11,12,13,14,15,16,17,18,19,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,47,46,45,44,43,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12,12,12,12,12
13,13,13,13,7,8,9,10,11,12,13,14,15,16,17,18,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,47,46,45,44,43,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,13,13,13,13,13
14,14,14,14,7,8,9,10,11,12,13,14,15,16,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,50,49,48,47,46,45,44,43,42,41,40,51,52,53,54,55,56,57,58,59,60,61,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,14,14,14,14,14
15,15,15,15,7,8,9,10,11,48,48,14,15,16,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,97,97,97,97,44,45,97,97,97,97,97,97,97,97,97,35,34,33,97,97,97,97,15,15,15,15,81,81,81,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,50,49,48,47,53,53,44,43,42,41,40,51,52,53,54,55,78,77,58,59,60,61,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,26,26,26,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,15,15,15,15,15
16,16,16,16,7,8,9,10,49,49,49,14,15,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,96,96,96,96,44,45,46,96,96,96,96,96,96,96,96,35,34,33,96,96,96,96,16,16,16,16,82,82,82,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,50,49,48,47,52,52,52,43,42,41,40,51,52,53,54,79,78,77,58,59,60,61,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,27,27,27,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,16,16,16,16,16
17,17,17,17,7,8,9,10,50,50,50,14,15,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,95,95,95,95,44,45,46,95,95,95,95,95,95,95,95,35,34,95,95,95,95,95,17,17,17,17,83,83,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,50,49,48,47,51,51,44,43,42,41,40,51,52,53,54,79,78,77,58,59,60,61,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,28,28,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,17,17,17,17,17
18,18,18,18,51,51,51,51,51,51,51,51,51,51,51,73,74,75,76,18,18,18,80,81,82,83,84,85,86,87,88,18,18,91,92,93,94,40,41,42,43,44,45,46,47,48,49,50,39,38,37,36,35,34,33,32,31,30,29,84,84,84,84,84,84,84,84,84,84,84,83,83,83,83,18,18,18,83,83,83,83,50,50,50,50,50,50,50,50,50,50,50,83,82,81,80,79,78,77,76,75,74,73,61,61,61,61,94,94,94,61,61,61,61,29,29,29,29,29,29,29,29,29,29,29,94,94,94,94,94,94,94,94,94,94,94,17,16,15,14,94,94,94,10,9,8,7,18,18,18,18,18
19,19,19,19,52,52,52,52,52,52,52,52,52,52,52,73,74,75,76,19,19,19,80,81,82,83,84,85,86,87,19,19,19,91,92,93,94,40,41,42,43,44,45,46,47,48,49,50,39,38,37,36,35,34,33,32,31,30,29,85,85,85,85,85,85,85,85,85,85,85,82,82,82,82,19,19,19,82,82,82,82,49,49,49,49,49,49,49,49,49,49,49,83,82,81,80,79,78,77,76,75,74,73,60,60,60,60,93,93,93,60,60,60,60,30,30,30,30,30,30,30,30,30,30,30,93,93,93,93,93,93,93,93,93,93,93,17,16,15,14,93,93,93,10,9,8,7,19,19,19,19,19
20,20,20,20,53,53,53,53,53,53,53,53,53,53,53,73,74,75,76,77,20,20,80,81,82,83,84,85,86,87,88,20,20,91,92,93,94,40,41,42,43,44,45,46,47,48,49,50,39,38,37,36,35,34,33,32,31,30,29,86,86,86,86,86,86,86,86,86,86,86,81,81,81,81,81,20,20,81,81,81,81,48,48,48,48,48,48,48,48,48,48,48,83,82,81,80,79,78,77,76,75,74,73,59,59,59,59,59,92,92,59,59,59,59,31,31,31,31,31,31,31,31,31,31,31,92,92,92,92,92,92,92,92,92,92,92,17,16,15,14,13,92,11,10,9,8,7,20,20,20,20,20
